,Country,Date,TimeStamp,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed (mph)
atuona,pf,2017-12-09,2017-12-09 06:16:15,68.0,100.0,-9.8,-139.03,79.54,16.62
zaysan,kz,2017-12-09,2017-12-09 06:23:41,12.0,75.0,47.47,84.87,25.5,5.06
pierre,us,2017-12-09,2017-12-09 05:53:00,1.0,69.0,44.37,-100.35,37.4,19.46
yellowknife,ca,2017-12-09,2017-12-09 06:00:00,90.0,85.0,62.46,-114.35,10.4,9.17
vaini,to,2017-12-09,2017-12-09 06:00:00,40.0,94.0,-21.2,-175.2,75.2,20.6
albany,au,2017-12-09,2017-12-09 06:16:21,32.0,25.0,-35.02,117.89,92.59,10.65
ponta do sol,cv,2017-12-09,2017-12-09 06:16:35,76.0,100.0,17.2,-25.09,75.94,16.13
quesnel,ca,2017-12-09,2017-12-09 06:00:00,1.0,79.0,53.0,-122.5,28.4,11.41
bluff,nz,2017-12-09,2017-12-09 06:16:12,48.0,99.0,-46.6,168.33,61.41,17.4
qaqortoq,gl,2017-12-09,2017-12-09 05:50:00,92.0,38.0,60.72,-46.03,42.8,49.44
albany,au,2017-12-09,2017-12-09 06:16:21,32.0,25.0,-35.02,117.89,92.59,10.65
maluso,ph,2017-12-09,2017-12-09 05:00:00,40.0,63.0,6.54,121.88,91.4,6.93
te anau,nz,2017-12-09,2017-12-09 06:16:12,0.0,75.0,-45.42,167.72,58.89,12.55
kalianget,id,2017-12-09,2017-12-09 06:23:59,68.0,98.0,-7.05,113.93,85.71,2.08
bogale,mm,2017-12-09,2017-12-09 06:24:00,64.0,88.0,16.28,95.4,82.65,10.13
saint george,bm,2017-12-09,2017-12-09 04:55:00,40.0,83.0,32.38,-64.68,73.4,21.92
boyuibe,bo,2017-12-09,2017-12-09 06:24:00,76.0,95.0,-20.42,-63.28,71.04,4.61
port alfred,za,2017-12-09,2017-12-09 06:14:14,20.0,86.0,-33.59,26.89,69.78,23.67
ponta do sol,pt,2017-12-09,2017-12-09 06:00:00,40.0,67.0,32.67,-17.1,62.6,6.93
kapaa,us,2017-12-09,2017-12-09 05:00:00,90.0,100.0,22.08,-159.32,73.4,5.82
ushuaia,ar,2017-12-09,2017-12-09 05:00:00,75.0,65.0,-54.8,-68.3,44.6,29.97
worland,us,2017-12-09,2017-12-09 05:55:00,1.0,79.0,44.02,-107.96,41.0,4.7
yenagoa,ng,2017-12-09,2017-12-09 06:24:01,0.0,92.0,4.92,6.26,74.1,4.09
new norfolk,au,2017-12-09,2017-12-09 06:00:00,0.0,35.0,-42.78,147.06,69.8,19.46
jamestown,sh,2017-12-09,2017-12-09 06:16:20,88.0,100.0,-15.94,-5.72,67.17,14.16
vaini,to,2017-12-09,2017-12-09 06:00:00,40.0,94.0,-21.2,-175.2,75.2,20.6
lorengau,pg,2017-12-09,2017-12-09 06:17:03,68.0,100.0,-2.02,147.27,82.29,7.29
punta arenas,cl,2017-12-09,2017-12-09 05:00:00,0.0,80.0,-53.15,-70.92,41.0,19.46
yellowknife,ca,2017-12-09,2017-12-09 06:00:00,90.0,85.0,62.46,-114.35,10.4,9.17
georgetown,sh,2017-12-09,2017-12-09 06:16:31,92.0,100.0,-7.93,-14.42,75.04,14.16
clarence town,bs,2017-12-09,2017-12-09 06:24:02,8.0,99.0,23.1,-74.98,79.68,16.8
lebu,cl,2017-12-09,2017-12-09 06:16:12,32.0,100.0,-37.62,-73.65,53.31,17.92
sorland,no,2017-12-09,2017-12-09 06:24:02,36.0,100.0,67.67,12.69,43.09,24.96
saint-philippe,re,2017-12-09,2017-12-09 05:30:00,20.0,54.0,-21.36,55.77,84.2,8.05
eenhana,na,2017-12-09,2017-12-09 05:00:00,68.0,83.0,-17.47,16.33,69.8,6.93
ilebo,cd,2017-12-09,2017-12-09 06:24:03,92.0,100.0,-4.32,20.58,71.04,1.36
caravelas,br,2017-12-09,2017-12-09 06:17:21,92.0,100.0,-17.71,-39.25,75.58,25.41
tuktoyaktuk,ca,2017-12-09,2017-12-09 06:00:00,90.0,84.0,69.45,-133.04,6.8,18.34
kaohsiung,tw,2017-12-09,2017-12-09 05:30:00,75.0,64.0,22.62,120.31,68.0,8.05
khatanga,ru,2017-12-09,2017-12-09 06:16:54,0.0,32.0,71.97,102.5,-21.58,9.08
huai thalaeng,th,2017-12-09,2017-12-09 05:00:00,20.0,48.0,15.0,102.65,86.0,9.17
atuona,pf,2017-12-09,2017-12-09 06:16:15,68.0,100.0,-9.8,-139.03,79.54,16.62
rikitea,pf,2017-12-09,2017-12-09 06:16:10,92.0,100.0,-23.12,-134.97,75.31,12.1
cabo san lucas,mx,2017-12-09,2017-12-09 05:42:00,5.0,48.0,22.89,-109.91,64.4,14.99
punta arenas,cl,2017-12-09,2017-12-09 05:00:00,0.0,80.0,-53.15,-70.92,41.0,19.46
busselton,au,2017-12-09,2017-12-09 06:16:17,68.0,70.0,-33.65,115.33,79.32,3.87
saldanha,za,2017-12-09,2017-12-09 06:00:00,0.0,56.0,-33.01,17.94,71.6,20.8
ribeira grande,pt,2017-12-09,2017-12-09 06:16:14,0.0,95.0,38.52,-28.7,67.35,14.9
anchorage,us,2017-12-09,2017-12-09 05:56:00,90.0,100.0,61.22,-149.9,28.4,1.36
puerto ayora,ec,2017-12-09,2017-12-09 06:16:11,0.0,100.0,-0.74,-90.35,71.13,7.74
